"id","title","questionText","questionDescription","required","useAllSteps","stepIds","useAllErrorCategories","errorCategories","rubricFailureType","answerOptionText","answerOptionScore","answerOptionRequiresJustification"
"cb76debd-8756-4107-8729-671ee34f372b","Trajectory Review - Trajectory Completeness","Rate the Trajectory Completeness of the Trajectory Review dimension.","A complete trajectory should include enough interaction to understand how the annotator worked through the task and reached completion. Provider-side encrypted model reasoning (encrypted chain-of-thought returned by the model provider, e.g., reasoningEncryptedContent blobs) is not authored content and does not count against completeness; only the visible interaction, tool calls/outputs, code, and final state are assessed. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - Incomplete Trajectory]; [All] [All] [Non-Fail - Minor Completeness Issues]","","A required trajectory is missing, truncated, or clearly ends before the claimed completion state.","2","true"
"","","","","","","","","","","The trajectory is complete but slightly thin in one section (e.g., a milestone resolved in a single terse turn) while the overall flow remains interpretable.
A tool output is summarized rather than fully shown, but the outcome is still clear.","3","true"
"","","","","","","","","","","The trajectory is complete, interpretable, and sufficient for end-to-end review.","5","false"
"9f525f2b-8336-4948-929d-358255d7603c","Trajectory Review - Prompting and Interaction Discipline - Natural Prompting","Rate the Prompting and Interaction Discipline - Natural Prompting of the Trajectory Review dimension.","Mailbox Ring expects natural prompting. Annotators may use suggested prompts as inspiration, but should not over-index on them or reduce the interaction to a script. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - Scripted / Artificial Interaction]; [All] [All] [Non-Fail - Minor Interaction Issues]","","The interaction is clearly robotic, formulaic, or over-dependent on canned prompts and the auditor fails to flag it.","2","true"
"","","","","","","","","","","One or two follow-ups sound slightly templated, but the overall session still reads as natural and purposeful.
Persona use is inconsistent in a minor way but does not break immersion or guidance quality.","3","true"
"","","","","","","","","","","The interaction feels natural, purposeful, and consistent with the project's goal of capturing real coder preferences.","5","false"
"ef360318-7da9-4054-ba34-19fd7fa6865c","Trajectory Review - Prompting and Interaction Discipline - Guidance","Rate the Prompting and Interaction Discipline - Guidance of the Trajectory Review dimension.",". See the spec doc for examples. For all options except the last, apply the error category.","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - No Real Guidance]","","The annotator does not meaningfully guide the agent toward milestones, yet the task is treated as acceptable.","2","true"
"","","","","","","","","","","Prompts contain sufficient guidance that the annotator is guiding the agent towards the milestones.","5","false"
"19553e65-779d-43cd-8c65-ed753ab6acbc","Ranking & Rationale - Subjective Ranking Quality","Rate the Subjective Ranking Quality of the Ranking & Rationale dimension.","The ranking should reflect the annotator's actual preference between trajectories. It is a vibe check, not a formula. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e09ffa6535f","false","[All] [All] [Fail - Ranking Contradicts Evidence]; [All] [All] [Non-Fail - Minor Ranking Issues]","","The final ordering is not defensible given the rationale and observed trajectories.","2","true"
"","","","","","","","","","","The ranking is plausible overall but the gap between two adjacent trajectories feels under-justified.
The ordering reads slightly too aligned with the global scores rather than as a genuine preference call, yet is still defensible.","3","true"
"","","","","","","","","","","The ranking clearly reflects subjective preference and is plausible given the trajectories.","5","false"
"06eebc56-06d6-479d-9d37-666897974d29","Ranking & Rationale - Trajectory Summaries - Specificity","Rate the Trajectory Summaries - Specificity of the Ranking & Rationale dimension.","The per-trajectory summaries should be factually accurate, opinionated and specific, not neutral placeholders. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-93171a2f9a85","false","[All] [All] [Fail - Generic Summary]; [All] [All] [Non-Fail - Minor Summary Issues]","","One or more trajectory summaries are vague, templated, or provide no concrete commentary.","2","true"
"","","","","","","","","","","Summaries are opinionated but include a bit of neutral recap.","3","true"
"","","","","","","","","","","Each summary is opinionated, concrete, and tied to the observed model behavior.","5","false"
"825c9d53-156f-4676-b997-fe48364c35cd","Ranking & Rationale - Trajectory Summaries - Completeness","Rate the Trajectory Summaries - Completeness of the Ranking & Rationale dimension.","The per-trajectory summaries should be factually accurate, opinionated and specific, not neutral placeholders. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-93171a2f9a85","false","[All] [All] [Fail - Missing Summary Content]; [All] [All] [Non-Fail - Minor Summary Issues]","","A required summary field is absent or too incomplete to be useful.","2","true"
"","","","","","","","","","","One summary is slightly shallower than the others but still references concrete model behavior.","3","true"
"","","","","","","","","","","Each summary is opinionated, concrete, and tied to the observed model behavior.","5","false"
"22381c23-2ad0-4b8a-ba43-cbba923b806d","Ranking & Rationale - Trajectory Summaries - Accuracy","Rate the Trajectory Summaries - Accuracy of the Ranking & Rationale dimension.","The per-trajectory summaries should be factually accurate, opinionated and specific, not neutral placeholders. See the spec doc for examples. For all options except the last, apply the error category.","true","false","step-TextCollection-93171a2f9a85","false","[All] [All] [Fail - Fabricated Claims]","","A summary or rationale field contains a specific technical claim – event, output, or behavior – that is contradicted by or absent from the trajetcory evidence.","2","true"
"","","","","","","","","","","Each summary is opinionated, concrete, and tied to the observed model behavior.","5","false"
"","","","","","","","","","","A summary or rationale references a real, observed event but mislabels a secondary detail of it, the type, timing, or milestone index, without changing the ranking or the score. This does not apply to fabricated events or cross-model misattribution, which remain Fail.","3","true"
"c00b4776-f562-4298-9ab0-d42b811a5aba","Ranking & Rationale - Final Comparative Rationale - Reasoning","Rate the Final Comparative Rationale - Reasoning of the Ranking & Rationale dimension.","The final field should explain how the annotator weighed the important criteria and reached the ordering. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-93171a2f9a85","false","[All] [All] [Non-Fail - Minor Rationale Issues]; [All] [All] [Fail - No Comparative Reasoning]","","The rationale does not explain how the final ranking was reached.","2","true"
"","","","","","","","","","","The rationale explains the ordering but leans on one or two generic phrases instead of specific trajectory evidence.","3","true"
"","","","","","","","","","","The rationale clearly shows how the annotator compared the trajectories and why the final ordering makes sense.","5","false"
"1d371aa1-5adc-436d-b072-83a875d4e688","Ranking & Rationale - Final Comparative Rationale - Evidence","Rate the Final Comparative Rationale - Evidence of the Ranking & Rationale dimension.","The final field should explain how the annotator weighed the important criteria and reached the ordering. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-93171a2f9a85","false","[All] [All] [Fail - Unsupported Comparative Claim]; [All] [All] [Non-Fail - Minor Rationale Issues]","","The rationale makes major claims that are not grounded in the observed trajectories.","2","true"
"","","","","","","","","","","One comparison point is supported indirectly rather than with a concrete example. A single non-load-bearing comparison point mislabels the type or timing of a real, observed event without driving the final ordering.","3","true"
"","","","","","","","","","","The rationale clearly shows how the annotator compared the trajectories and why the final ordering makes sense.","5","false"
"a4f7a644-00dd-49ba-96c4-1b710993c6e6","Global Scores - Correctness Score","Rate the Correctness Score of the Global Scores dimension.","Correctness is primarily concerned with the final solution or end state. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Fail - Incorrect Correctness Score]; [All] [All] [Non-Fail - Minor Correctness Scoring Issues]","","The assigned score does not match the final code, output, or verified end state, and the difference in score is 2+ points (1<>3 or 3<>1)","2","true"
"","","","","","","","","","","The assigned score does not match the final code, output, or verified end state, and the difference in score is 1 point (1<>2, 2<>3 or vice-versa)
The score is in the right range but does not fully reflect a minor edge case the solution handled or missed.
A small end-state nuance is under-weighted but the overall score direction is defensible.","3","true"
"","","","","","","","","","","The score accurately reflects the final solution's correctness.","5","false"
"d9cf7bfe-7195-4c79-bda8-b71a791d093b","Global Scores - Agent Behavior Score","Rate the Agent Behavior Score of the Global Scores dimension.","Consider decision-making, planning, tool usage, exploration, and instruction following throughout the trajectory. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Fail - Incorrect Agent Behavior Score]; [All] [All] [Non-Fail - Minor Agent Behavior Scoring Issues]","","The score does not match the observed planning, execution, or tool-use behavior, and the difference in score is 2+ points (1<>3 or 3<>1)","2","true"
"","","","","","","","","","","The score does not match the observed planning, execution, or tool-use behavior, and the difference in score is 1 point  (1<>2, 2<>3)
The score captures the overall behavior but slightly under- or over-weights a specific planning or tool-use moment.
A strong/weak intermediate moment is acknowledged in the rationale but only partially reflected in the score.","3","true"
"","","","","","","","","","","The score accurately captures how the agent behaved during the interaction.","5","false"
"e46eba67-0239-4f1e-b0d7-3d6362af8707","Global Scores - (Optional) Code Style Score - Rating","Rate the (Optional) Code Style Score - Rating of the Global Scores dimension.","If the task does not require code, it can be skipped. If assessing the code would take more than ~10 minutes, cbs skim through some of the files to assess the model's general style. If one or more agents unnecessarily produce huge amounts of code, cbs may flag verbosity without reviewing every line. The ranking value is optional, but there must be a rationale that justifies why it was not ranked. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Fail - Incorrect Code Style Score]; [All] [All] [Non-Fail - Minor Code Style Scoring Issues]","","The code style score does not fit the visible quality of the final output, and the difference in score is 2+ points (1<>3 or 3<>1)","2","true"
"","","","","","","","","","","The code style score does not fit the visible quality of the final output, and the difference in score is 1 point (1<>2, 2<>3)
The score is defensible but could be justified with more specific code references.","3","true"
"","","","","","","","","","","The reviewer handles this dimension correctly: either scores it well with clear justification or skips it for the right reason.","5","false"
"a80e4f96-99a7-425f-a2f9-84d4139974a4","Global Scores - (Optional) Code Style Score - Improperly Completed","Rate the (Optional) Code Style Score - Improperly Completed of the Global Scores dimension.","If the task does not require code, it can be skipped. If assessing the code would take more than ~10 minutes, cbs skim through some of the files to assess the model's general style. If one or more agents unnecessarily produce huge amounts of code, cbs may flag verbosity without reviewing every line. The ranking value is optional, but there must be a rationale that justifies why it was not ranked. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Fail - Improper Mandatory Style Review]; [All] [All] [Non-Fail - Minor Code Style Scoring Issues]","","The reviewer treats Code Style as required even when the task does not justify scoring it.","2","true"
"","","","","","","","","","","The decision to score vs. skip is reasonable but borderline for the type of task.","3","true"
"","","","","","","","","","","The reviewer handles this dimension correctly: either scores it well with clear justification or skips it for the right reason.","5","false"
"ac9c7ffb-5783-4a13-b775-645e31b655d8","Global Scores - (Optional) Code Style Score - Improperly Omitted","Rate the (Optional) Code Style Score - Improperly Omitted of the Global Scores dimension.","If the task does not require code, it can be skipped. If assessing the code would take more than ~10 minutes, cbs skim through some of the files to assess the model's general style. If one or more agents unnecessarily produce huge amounts of code, cbs may flag verbosity without reviewing every line. The ranking value is optional, but there must be a rationale that justifies why it was not ranked. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Fail - Missing Code Style justification]; [All] [All] [Non-Fail - Minor Code Style Scoring Issues]","","The contributor did not provide a reasonable justification for why the ranking was not completed.","2","true"
"","","","","","","","","","","The decision to score vs. skip is reasonable but borderline for the type of task.
Given the weight of evidence in the trajectory, the justification for skipping the ranking is weak.","3","true"
"","","","","","","","","","","The reviewer handles this dimension correctly: either scores it well with clear justification or skips it for the right reason.","5","false"
"71724579-a732-43af-9cb1-66fc529ad4fe","Global Scores - Communication Score","Rate the Communication Score of the Global Scores dimension.","Consider clarity, summaries, responsiveness, and whether the agent communicated effectively with the annotator. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Non-Fail - Minor Communication Scoring Issues]; [All] [All] [Fail - Incorrect Communications Score]","","The score does not match the clarity or usefulness of the agent's communication, and the difference in score is 2+ points (1<>3 or 3<>1)","2","true"
"","","","","","","","","","","The score does not match the clarity or usefulness of the agent's communication, and the difference in score is 1 point (1<>2, 2<>3)
The score captures overall communication quality but under-weights one moment of unclear messaging or a particularly strong summary.
A minor responsiveness issue is noted in the rationale but not fully reflected in the numeric score.","3","true"
"","","","","","","","","","","The score accurately reflects the quality and effectiveness of the agent's communication.","5","false"
"bba5f40e-a0e1-478e-bb84-c9f70aee4429","Justification - Support Claims - Accuracy","Rate the Support Claims - Accuracy of the Justification dimension.",". See the spec doc for examples. For all options except the last, apply the error category.
Note: This error applies to the rationale/justifications provided for the Global Grading Criteria scores.","true","false","step-TextCollection-8e1ff10a690f; step-1771551244463-kuabol","false","[All] [All] [Fail - Claims Inaccurate]","","1 or more primary claims (claims that directly support the assigned score) are inaccurate, OR inaccurate secondary claims are material enough to change the assigned score.","2","true"
"","","","","","","","","","","All claims being made are accurate","5","false"
"","","","","","","","","","","Only secondary or illustrative claims are inaccurate (e.g., misattributed examples or mislabeled details), while the primary claim that supports the assigned score is accurate and the score itself is unchanged. This applies regardless of how many secondary claims are affected.","3","true"
"7bfd66e4-7275-45cd-ad08-5f5a5c845bb0","User Messages - Milestone JSON Leakage","Do any of the user messages include any of the raw milestone JSON?","","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - Milestone Leakage]; [All] [All] [Non-Fail - Milestone Leakage]","","[Fail - Milestone Leakage]
The raw milestone was completely leaked in one of the user turns","2","true"
"","","","","","","","","","","[Non-Fail - Milestone Leakage]
A small portion of the raw milestone is leaked in any of the user turns. (E.g., M2: Add a --report flag that generates a batch summary.)","3","true"
"","","","","","","","","","","No raw milestone information has leaked in any of the user turns.","5","false"
"3110cdd1-5486-40b7-98a3-bd469d702364","All CB Generated Content - Spelling / Grammar - Major Error","Rate the Spelling / Grammar - Major Error of the All CB Generated Content dimension.",". See the spec doc for examples. For all options except the last, apply an error category.

Note: This does NOT apply this criterion to prompts sent in the agent interactions.","true","true","","false","[All] [All] [Fail - SGP Major Error]; [All] [All] [Non-Fail - SGP Minor Error]","","Has 4 or more spelling (minor), grammar, and punctuation errors

Note: For spelling, grammar, and punctuation, errors accumulate across the entire task. For example, if the prompt had 2 spelling errors and the response had 2 spelling  errors, we'd fail the task","2","true"
"","","","","","","","","","","Has up to 3 spelling, grammar and punctuation errors","3","true"
"","","","","","","","","","","(5) There are no easily discernible errors","5","false"
"55409b26-7c44-49e7-860e-0900c1d9de08","All CB Generated Content - Spelling / Grammar - Egregious Errors","Rate the Spelling / Grammar - Egregious Errors of the All CB Generated Content dimension.",". See the spec doc for examples. For all options except the last, apply an error category.

Note: This does NOT apply this criterion to prompts sent in the agent interactions.","false","true","","false","[All] [All] [Non-Fail - Minor Egregious Spelling Error]; [All] [All] [Fail - Multiple Egregious Spelling Errors]","","Has 2 or more egregious spelling errors

Note: For spelling, grammar, and punctuation, errors accumulate across the entire task. For example, if the prompt had 2 spelling errors and the response had 2 spelling  errors, we'd fail the task","2","false"
"","","","","","","","","","","Has 1 egregious spelling error","3","false"
"","","","","","","","","","","(5) There are no easily discernible errors","5","false"
"689423cd-0fee-477d-a7d9-45e59d01e242","All CB Generated Content - Original Work - Cheating","Rate the Original Work - Cheating of the All CB Generated Content dimension.","The content contains clear and obvious evidence of unsanctioned LLM usage, shown by concrete artifacts such as hallucinated or trajectory-contradicted content, copy-paste leakage (assistant preambles, prompt scaffolding, or markdown the contributor did not author), or text that is inconsistent with the observed trajectory. Note: Style alone is not sufficient for a Fail. Verbosity, polished prose, parallel paragraph structure across the two model evaluations, and occasional pleasantries are NOT cheating when the content is specific and grounded in the trajectory. See the spec doc for examples.
","true","true","","false","[Core Dimensions] [Original Work] [Fail - LLM Cheating]; [Core Dimensions] [Original Work] [Non-Fail - Suspected LLM Cheating]","","The content contains clear and obvious evidence of unsanctioned LLM usage in their work

Note: Evidence of chatbot usage could be excessive usage of fluff / pleasantries, generic responses, lack of human understanding and nuance, etc. Copy paste prompts that ask for summaries or analysis of the pasted material are okay.","2","true"
"","","","","","","","","","","The content shows evidence of unsanctioned LLM usage or otherwise appears unnatural, but it is not obvious that an LLM was used to generate their work.

","3","true"
"","","","","","","","","","","The content does not contain clear or obvious evidence of LLM usage.","5","false"
